biomass_taro_future_ssp126,duration_taro_future_ssp126,duration_tef_historical_ssp370,duration_soybean_future_ssp370,yield_fonio_future_ssp370,yield_fonio_future_ssp126,duration_taro_future_ssp370,duration_tomato_historical_ssp370,duration_tef_future_ssp370,biomass_taro_historical_ssp370,duration_fonio_historical_ssp370,yield_groundnut_historical_ssp370,biomass_sesame_historical_ssp370,duration_soybean_historical_ssp370,yield_tomato_future_ssp370,biomass_sesame_future_ssp370,biomass_sesame_future_ssp126,yield_taro_future_ssp126,duration_cowpea_future_ssp126,biomass_tef_future_ssp370,biomass_groundnut_future_ssp126,biomass_tomato_historical_ssp370,yield_maize_future_ssp370,yield_maize_historical_ssp370,duration_tomato_future_ssp370,biomass_groundnut_historical_ssp370,biomass_maize_future_ssp370,biomass_sorghum_historical_ssp370,yield_tomato_future_ssp126,yield_tomato_historical_ssp370,yield_sesame_historical_ssp370,yield_sorghum_historical_ssp370,biomass_fonio_future_ssp126,biomass_cowpea_future_ssp370,duration_fonio_future_ssp126,duration_cowpea_future_ssp370,yield_tef_future_ssp370,duration_sesame_historical_ssp370,yield_soybean_future_ssp370,duration_tef_future_ssp126,yield_sesame_future_ssp126,yield_tef_future_ssp126,yield_maize_future_ssp126,yield_groundnut_future_ssp126,biomass_tomato_future_ssp370,yield_tef_historical_ssp370,biomass_soybean_future_ssp126,biomass_tef_future_ssp126,biomass_groundnut_future_ssp370,duration_sesame_future_ssp126,yield_soybean_historical_ssp370,duration_cowpea_historical_ssp370,yield_taro_historical_ssp370,duration_groundnut_future_ssp370,yield_sorghum_future_ssp370,duration_taro_historical_ssp370,biomass_soybean_historical_ssp370,duration_groundnut_historical_ssp370,biomass_fonio_future_ssp370,yield_fonio_historical_ssp370,duration_maize_historical_ssp370,yield_cowpea_future_ssp126,biomass_tef_historical_ssp370,duration_sorghum_future_ssp370,duration_sorghum_historical_ssp370,duration_sorghum_future_ssp126,biomass_sorghum_future_ssp370,yield_sorghum_future_ssp126,duration_maize_future_ssp370,biomass_taro_future_ssp370,duration_tomato_future_ssp126,biomass_cowpea_future_ssp126,duration_fonio_future_ssp370,biomass_tomato_future_ssp126,yield_cowpea_future_ssp370,yield_cowpea_historical_ssp370,yield_soybean_future_ssp126,duration_sesame_future_ssp370,yield_taro_future_ssp370,yield_groundnut_future_ssp370,duration_groundnut_future_ssp126,duration_maize_future_ssp126,biomass_maize_future_ssp126,biomass_fonio_historical_ssp370,duration_soybean_future_ssp126,biomass_maize_historical_ssp370,biomass_sorghum_future_ssp126,biomass_soybean_future_ssp370,yield_sesame_future_ssp370,biomass_cowpea_historical_ssp370,id
,,91,,,,,,91,,,,,,,,,,,2488.358,,,86.706,56.037,,,255.027,206.093,,,,70.083,,,,,472.825,,,91,,420.092,68.839,,,328.142,,2210.967,,,,,,,107.866,,,,,,76.083,,1727.05,51.848,53.213,51.062,317.232,78.098,70.732,,,,,,,,,,,,,71.188,202.447,,,164.963,229.911,,,,"31"
,,91,,,,,,91,,,,,,,,,,,2005.9,,,31.034,39.482,,,91.448,,,,,,,,,,381.1,,,91,,347.567,44.061,,,282.758,,1829.5,,,,,,,,,,,,,84.389,,1487.816,,,,,,81.483,,,,,,,,,,,,,83.302,129.785,,,116.222,,,,,"32"
,,91,,,,,161,91,,,,,,89.375,,,,,2304.45,,108.316,53.638,62.472,161,,157.776,,79.408,55.216,,,,,,,437.9,,,91,,397.083,55.543,,175.267,330.975,,2089.766,,,,,,,,,,,,,86.009,,1741.975,,,,,,79.862,,161,,,155.7,,,,,,,,81.905,163.336,,,183.806,,,,,"33"
,,91,92.784,,,,,91,,,,,98.037,,,,,,2707.883,,,149.871,130.334,,,440.957,,,,,,,,,,514.458,,840.129,91,,455.025,137.482,,,362.334,2056.595,2394.833,,,700.407,,,,,,2001.241,,,,92.287,,1906.934,,,,,,85.698,,,,,,,,719.828,,,,,87.646,404.336,,93.31,383.324,,2400.371,,,"34"
,,91,87.62,,,,,91,,,,,93.463,,,,,,3128.192,,,135.258,146.667,,,397.802,,,,,,,,,,594.342,,798.052,91,,543.1,159.75,,,475.616,2069.345,2858.392,,,697.278,,,,,,1992.352,,,,87.083,,2503.092,,,,,,80.078,,,,,,,,724.267,,,,,82.595,469.845,,88.707,431.463,,2280.095,,,"35"
,,,,,,,161,,,,,,,488.633,,,,,,,625.066,,,161,,,,427.358,318.775,,,,,,,,,,,,,,,958.034,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,837.858,,,,,,,,,,,,,,,,,"36"
,,91,87.414,,,,161,90.917,,,,,94.454,884,,,,,4113.291,,1312.075,322.621,331.833,161,,948.931,,825.675,669.15,,,,,,,781.508,,981.155,91,,724.775,369.474,,1733.417,653.575,2603.957,3814.733,,,899.796,,,,,,2570.907,,,,87.139,,3440.067,,,,,,79.129,,161,,,1618.95,,,911.405,,,,,82.026,1086.612,,88.879,975.843,,2803.457,,,"37"
,,91,100.13,,,,161,90.992,,,,,107.797,1652.892,,,,,4647.042,,2500.4,781.646,781.815,161,,2298.931,1081.102,1510.942,1275.234,,367.556,,,,,882.95,,1501.457,91,,796.75,877.552,,3241.042,692.158,3947.354,4193.409,,,1343.259,,,,479.732,,3838.028,,,,97.926,,3642.758,66.17,69.768,65.018,1410.974,363.241,89.379,,161,,,2962.575,,,1381.586,,,,,92.62,2581.069,,101.509,2299.333,1068.527,4289.862,,,"38"
,,91,100.595,,,,161,91,,,,,106.667,1182.375,,,,,4054.084,,1794.392,574.836,557.148,161,,1690.664,,1084.792,915.142,,,,,,,770.25,,1217.258,91,,709.383,651.181,,2318.4,622.875,3196.362,3733.717,,,1068.676,,,,,,3053.259,,,,98.463,,3278.55,,,,,,91.578,,161,,,2127.034,,,1118.75,,,,,94.155,1915.224,,102.077,1638.694,,3477.897,,,"39"
,,91,103.242,,,,161,90.892,,,,,109.083,1855.633,,,,,4666.333,,2965.2,907.474,943.296,161,,2669.086,,1729.817,1512.217,,,,,,,886.608,,1449.276,91,,816.75,1035.922,,3638.417,732.775,3844.052,4298.883,,,1265.778,,,,,,3616.426,,,,100.49,,3856.658,,,,,,93.767,,161,,,3391.842,,,1345.37,,,,,96.276,3046.802,,104.716,2774.482,,4140.802,,,"40"
,,91,105.629,,,,161,90.725,,,,,111.028,2019.275,,,,,4767.2,,3242.267,1108.198,1114.565,161,,3259.422,,1907.833,1653.55,,,,,,,905.783,,1574.517,90.983,,845.367,1199.646,,3959.258,770.2,4180.353,4449.342,,,1388.046,,,,,,3965.898,,,,102.5,,4053.642,,,,,,96.517,,161,,,3740.733,,,1463.103,,,,,98.56,3528.396,,106.819,3278.13,,4498.784,,,"41"
,,91,,,,,,91,,,,,,,,,,,3363.375,,,11.652,10.148,,,34.42,107.528,,,,36.574,,,,,639.008,,,91,,600.892,17.08,,,525.758,,3162.583,,,,,,,54.41,,,,,,72.509,,2767.092,45.866,47.815,46.42,159.991,43.83,67.928,,,,,,,,,,,,,69.616,50.223,,,29.824,129,,,,"42"
,,91,,,,,,91,,,,,,,,,,,4679.667,,,50.393,39.241,,,148.241,268.093,,,,91.157,,,,,889.158,,,91,,809.075,44.955,,,689.7,,4258.425,,,,,,,129.241,,,,,,68.342,,3630.117,47.991,50.398,48.688,380.054,106.393,61.286,,,,,,,,,,,,,63.357,132.348,,,115.426,312.786,,,,"43"
,,91,,,,,,91,,,,,,,,,,,2628.592,,,23.223,20.834,,,68.33,128.028,,,,43.556,,,,,499.408,,,91,,399.108,25.322,,,295.358,,2100.358,,,,,,,67.822,,,,,,77.806,,1554.6,49.625,52.231,50.384,199.384,53.321,71.438,,,,,,,,,,,,,73.518,74.544,,,61.333,156.732,,,,"44"
,,91,,,,,,90.942,,,,,,,,,,,2434.85,,,12.304,12.834,,,36.232,,,,,,,,,,462.617,,,91,,441.15,5.938,,,377.484,,2322.142,,,,,,,,,,,,,61.426,,1986.8,,,,,,53.786,,,,,,,,,,,,,56.027,17.572,,,37.842,,,,,"45"
,,91,,,,,,91,,,84.722,,,,,,,,2547.642,227.768,,49.786,21.861,,242.186,146.384,,,,,,,,,,484.034,,,91,,429.258,31.696,79.723,,337.917,,2259.375,297.884,,,,,175.536,,,,226.666,,,68.38,,1778.333,,,,,,60.956,,,,,,,,,,,104.25,192.982,62.402,93.009,,,64.324,,,,,"46"
,,91,,,,,,91,,,,,,,,,,,1565.542,,,72.857,40.028,,,214.295,,,,,,,,,,297.433,,,91,,230.908,43.518,,,158.616,,1215.242,,,,,,,,,,,,,79.963,,834.9,,,,,,73.509,,,,,,,,,,,,,75.116,127.83,,,117.583,,,,,"47"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48"
,,90.975,,,,,,90.541,,,,,,,,,,,2140.667,,,29.598,26.315,,,86.928,,,,,,,,,,406.708,,,90.967,,382.692,19.464,,,331.717,,2014.125,,,,,,,,,,,,,57.667,,1745.783,,,,,,51.75,,,,,,,,,,,,,52.196,57.196,,,77.361,,,,,"49"
