geometry
"POLYGON ((21 21.5, 21 21, 20.5 21, 20.5 21.5, 21 21.5))"
"POLYGON ((21.5 21.5, 21.5 21, 21 21, 21 21.5, 21.5 21.5))"
"POLYGON ((22 21.5, 22 21, 21.5 21, 21.5 21.5, 22 21.5))"
"POLYGON ((22.5 21.5, 22.5 21, 22 21, 22 21.5, 22.5 21.5))"
"POLYGON ((23 21.5, 23 21, 22.5 21, 22.5 21.5, 23 21.5))"
"POLYGON ((23.5 21.5, 23.5 21, 23 21, 23 21.5, 23.5 21.5))"
"POLYGON ((24 21.5, 24 21, 23.5 21, 23.5 21.5, 24 21.5))"
"POLYGON ((24.5 21.5, 24.5 21, 24 21, 24 21.5, 24.5 21.5))"
"POLYGON ((25 21.5, 25 21, 24.5 21, 24.5 21.5, 25 21.5))"
"POLYGON ((25.5 21.5, 25.5 21, 25 21, 25 21.5, 25.5 21.5))"
"POLYGON ((26 21.5, 26 21, 25.5 21, 25.5 21.5, 26 21.5))"
"POLYGON ((26.5 21.5, 26.5 21, 26 21, 26 21.5, 26.5 21.5))"
"POLYGON ((27 21.5, 27 21, 26.5 21, 26.5 21.5, 27 21.5))"
"POLYGON ((27.5 21.5, 27.5 21, 27 21, 27 21.5, 27.5 21.5))"
"POLYGON ((28 21.5, 28 21, 27.5 21, 27.5 21.5, 28 21.5))"
"POLYGON ((28.5 21.5, 28.5 21, 28 21, 28 21.5, 28.5 21.5))"
"POLYGON ((29 21.5, 29 21, 28.5 21, 28.5 21.5, 29 21.5))"
"POLYGON ((29.5 21.5, 29.5 21, 29 21, 29 21.5, 29.5 21.5))"
"POLYGON ((30 21.5, 30 21, 29.5 21, 29.5 21.5, 30 21.5))"
"POLYGON ((30.5 21.5, 30.5 21, 30 21, 30 21.5, 30.5 21.5))"
"POLYGON ((31 21.5, 31 21, 30.5 21, 30.5 21.5, 31 21.5))"
"POLYGON ((31.5 21.5, 31.5 21, 31 21, 31 21.5, 31.5 21.5))"
"POLYGON ((32 21.5, 32 21, 31.5 21, 31.5 21.5, 32 21.5))"
"POLYGON ((32.5 21.5, 32.5 21, 32 21, 32 21.5, 32.5 21.5))"
"POLYGON ((33 21.5, 33 21, 32.5 21, 32.5 21.5, 33 21.5))"
"POLYGON ((33.5 21.5, 33.5 21, 33 21, 33 21.5, 33.5 21.5))"
"POLYGON ((34 21.5, 34 21, 33.5 21, 33.5 21.5, 34 21.5))"
"POLYGON ((34.5 21.5, 34.5 21, 34 21, 34 21.5, 34.5 21.5))"
"POLYGON ((35 21.5, 35 21, 34.5 21, 34.5 21.5, 35 21.5))"
"POLYGON ((35.5 21.5, 35.5 21, 35 21, 35 21.5, 35.5 21.5))"
"POLYGON ((36 21.5, 36 21, 35.5 21, 35.5 21.5, 36 21.5))"
"POLYGON ((36.5 21.5, 36.5 21, 36 21, 36 21.5, 36.5 21.5))"
"POLYGON ((37 21.5, 37 21, 36.5 21, 36.5 21.5, 37 21.5))"
"POLYGON ((-16.5 22, -16.5 21.5, -17 21.5, -17 22, -16.5 22))"
"POLYGON ((-16 22, -16 21.5, -16.5 21.5, -16.5 22, -16 22))"
"POLYGON ((-15.5 22, -15.5 21.5, -16 21.5, -16 22, -15.5 22))"
"POLYGON ((-15 22, -15 21.5, -15.5 21.5, -15.5 22, -15 22))"
"POLYGON ((-14.5 22, -14.5 21.5, -15 21.5, -15 22, -14.5 22))"
"POLYGON ((-14 22, -14 21.5, -14.5 21.5, -14.5 22, -14 22))"
"POLYGON ((-13.5 22, -13.5 21.5, -14 21.5, -14 22, -13.5 22))"
"POLYGON ((-13 22, -13 21.5, -13.5 21.5, -13.5 22, -13 22))"
"POLYGON ((-12.5 22, -12.5 21.5, -13 21.5, -13 22, -12.5 22))"
"POLYGON ((-12 22, -12 21.5, -12.5 21.5, -12.5 22, -12 22))"
"POLYGON ((-11.5 22, -11.5 21.5, -12 21.5, -12 22, -11.5 22))"
"POLYGON ((-11 22, -11 21.5, -11.5 21.5, -11.5 22, -11 22))"
"POLYGON ((-10.5 22, -10.5 21.5, -11 21.5, -11 22, -10.5 22))"
"POLYGON ((-10 22, -10 21.5, -10.5 21.5, -10.5 22, -10 22))"
"POLYGON ((-9.5 22, -9.5 21.5, -10 21.5, -10 22, -9.5 22))"
"POLYGON ((-9 22, -9 21.5, -9.5 21.5, -9.5 22, -9 22))"
"POLYGON ((-8.5 22, -8.5 21.5, -9 21.5, -9 22, -8.5 22))"
"POLYGON ((-8 22, -8 21.5, -8.5 21.5, -8.5 22, -8 22))"
"POLYGON ((-7.5 22, -7.5 21.5, -8 21.5, -8 22, -7.5 22))"
"POLYGON ((-7 22, -7 21.5, -7.5 21.5, -7.5 22, -7 22))"
"POLYGON ((-6.5 22, -6.5 21.5, -7 21.5, -7 22, -6.5 22))"
"POLYGON ((-6 22, -6 21.5, -6.5 21.5, -6.5 22, -6 22))"
"POLYGON ((-5.5 22, -5.5 21.5, -6 21.5, -6 22, -5.5 22))"
"POLYGON ((-5 22, -5 21.5, -5.5 21.5, -5.5 22, -5 22))"
"POLYGON ((-4.5 22, -4.5 21.5, -5 21.5, -5 22, -4.5 22))"
"POLYGON ((-4 22, -4 21.5, -4.5 21.5, -4.5 22, -4 22))"
"POLYGON ((-3.5 22, -3.5 21.5, -4 21.5, -4 22, -3.5 22))"
"POLYGON ((-3 22, -3 21.5, -3.5 21.5, -3.5 22, -3 22))"
"POLYGON ((-2.5 22, -2.5 21.5, -3 21.5, -3 22, -2.5 22))"
"POLYGON ((-2 22, -2 21.5, -2.5 21.5, -2.5 22, -2 22))"
"POLYGON ((-1.5 22, -1.5 21.5, -2 21.5, -2 22, -1.5 22))"
"POLYGON ((-1 22, -1 21.5, -1.5 21.5, -1.5 22, -1 22))"
"POLYGON ((-0.5 22, -0.5 21.5, -1 21.5, -1 22, -0.5 22))"
"POLYGON ((0 22, 0 21.5, -0.5 21.5, -0.5 22, 0 22))"
"POLYGON ((0.5 22, 0.5 21.5, 0 21.5, 0 22, 0.5 22))"
"POLYGON ((1 22, 1 21.5, 0.5 21.5, 0.5 22, 1 22))"
"POLYGON ((1.5 22, 1.5 21.5, 1 21.5, 1 22, 1.5 22))"
"POLYGON ((2 22, 2 21.5, 1.5 21.5, 1.5 22, 2 22))"
"POLYGON ((2.5 22, 2.5 21.5, 2 21.5, 2 22, 2.5 22))"
"POLYGON ((3 22, 3 21.5, 2.5 21.5, 2.5 22, 3 22))"
"POLYGON ((3.5 22, 3.5 21.5, 3 21.5, 3 22, 3.5 22))"
"POLYGON ((4 22, 4 21.5, 3.5 21.5, 3.5 22, 4 22))"
"POLYGON ((4.5 22, 4.5 21.5, 4 21.5, 4 22, 4.5 22))"
"POLYGON ((5 22, 5 21.5, 4.5 21.5, 4.5 22, 5 22))"
"POLYGON ((5.5 22, 5.5 21.5, 5 21.5, 5 22, 5.5 22))"
"POLYGON ((6 22, 6 21.5, 5.5 21.5, 5.5 22, 6 22))"
"POLYGON ((6.5 22, 6.5 21.5, 6 21.5, 6 22, 6.5 22))"
"POLYGON ((7 22, 7 21.5, 6.5 21.5, 6.5 22, 7 22))"
"POLYGON ((7.5 22, 7.5 21.5, 7 21.5, 7 22, 7.5 22))"
"POLYGON ((8 22, 8 21.5, 7.5 21.5, 7.5 22, 8 22))"
"POLYGON ((8.5 22, 8.5 21.5, 8 21.5, 8 22, 8.5 22))"
"POLYGON ((9 22, 9 21.5, 8.5 21.5, 8.5 22, 9 22))"
"POLYGON ((9.5 22, 9.5 21.5, 9 21.5, 9 22, 9.5 22))"
"POLYGON ((10 22, 10 21.5, 9.5 21.5, 9.5 22, 10 22))"
"POLYGON ((10.5 22, 10.5 21.5, 10 21.5, 10 22, 10.5 22))"
"POLYGON ((11 22, 11 21.5, 10.5 21.5, 10.5 22, 11 22))"
"POLYGON ((11.5 22, 11.5 21.5, 11 21.5, 11 22, 11.5 22))"
"POLYGON ((12 22, 12 21.5, 11.5 21.5, 11.5 22, 12 22))"
"POLYGON ((12.5 22, 12.5 21.5, 12 21.5, 12 22, 12.5 22))"
"POLYGON ((13 22, 13 21.5, 12.5 21.5, 12.5 22, 13 22))"
"POLYGON ((13.5 22, 13.5 21.5, 13 21.5, 13 22, 13.5 22))"
"POLYGON ((14 22, 14 21.5, 13.5 21.5, 13.5 22, 14 22))"
"POLYGON ((14.5 22, 14.5 21.5, 14 21.5, 14 22, 14.5 22))"
"POLYGON ((15 22, 15 21.5, 14.5 21.5, 14.5 22, 15 22))"
"POLYGON ((15.5 22, 15.5 21.5, 15 21.5, 15 22, 15.5 22))"
"POLYGON ((16 22, 16 21.5, 15.5 21.5, 15.5 22, 16 22))"
"POLYGON ((16.5 22, 16.5 21.5, 16 21.5, 16 22, 16.5 22))"
"POLYGON ((17 22, 17 21.5, 16.5 21.5, 16.5 22, 17 22))"
"POLYGON ((17.5 22, 17.5 21.5, 17 21.5, 17 22, 17.5 22))"
"POLYGON ((18 22, 18 21.5, 17.5 21.5, 17.5 22, 18 22))"
"POLYGON ((18.5 22, 18.5 21.5, 18 21.5, 18 22, 18.5 22))"
"POLYGON ((19 22, 19 21.5, 18.5 21.5, 18.5 22, 19 22))"
"POLYGON ((19.5 22, 19.5 21.5, 19 21.5, 19 22, 19.5 22))"
"POLYGON ((20 22, 20 21.5, 19.5 21.5, 19.5 22, 20 22))"
"POLYGON ((20.5 22, 20.5 21.5, 20 21.5, 20 22, 20.5 22))"
"POLYGON ((21 22, 21 21.5, 20.5 21.5, 20.5 22, 21 22))"
"POLYGON ((21.5 22, 21.5 21.5, 21 21.5, 21 22, 21.5 22))"
"POLYGON ((22 22, 22 21.5, 21.5 21.5, 21.5 22, 22 22))"
"POLYGON ((22.5 22, 22.5 21.5, 22 21.5, 22 22, 22.5 22))"
"POLYGON ((23 22, 23 21.5, 22.5 21.5, 22.5 22, 23 22))"
"POLYGON ((23.5 22, 23.5 21.5, 23 21.5, 23 22, 23.5 22))"
"POLYGON ((24 22, 24 21.5, 23.5 21.5, 23.5 22, 24 22))"
"POLYGON ((24.5 22, 24.5 21.5, 24 21.5, 24 22, 24.5 22))"
"POLYGON ((25 22, 25 21.5, 24.5 21.5, 24.5 22, 25 22))"
"POLYGON ((25.5 22, 25.5 21.5, 25 21.5, 25 22, 25.5 22))"
"POLYGON ((26 22, 26 21.5, 25.5 21.5, 25.5 22, 26 22))"
"POLYGON ((26.5 22, 26.5 21.5, 26 21.5, 26 22, 26.5 22))"
"POLYGON ((27 22, 27 21.5, 26.5 21.5, 26.5 22, 27 22))"
"POLYGON ((27.5 22, 27.5 21.5, 27 21.5, 27 22, 27.5 22))"
"POLYGON ((28 22, 28 21.5, 27.5 21.5, 27.5 22, 28 22))"
"POLYGON ((28.5 22, 28.5 21.5, 28 21.5, 28 22, 28.5 22))"
"POLYGON ((29 22, 29 21.5, 28.5 21.5, 28.5 22, 29 22))"
"POLYGON ((29.5 22, 29.5 21.5, 29 21.5, 29 22, 29.5 22))"
"POLYGON ((30 22, 30 21.5, 29.5 21.5, 29.5 22, 30 22))"
"POLYGON ((30.5 22, 30.5 21.5, 30 21.5, 30 22, 30.5 22))"
"POLYGON ((31 22, 31 21.5, 30.5 21.5, 30.5 22, 31 22))"
"POLYGON ((31.5 22, 31.5 21.5, 31 21.5, 31 22, 31.5 22))"
"POLYGON ((32 22, 32 21.5, 31.5 21.5, 31.5 22, 32 22))"
"POLYGON ((32.5 22, 32.5 21.5, 32 21.5, 32 22, 32.5 22))"
"POLYGON ((33 22, 33 21.5, 32.5 21.5, 32.5 22, 33 22))"
"POLYGON ((33.5 22, 33.5 21.5, 33 21.5, 33 22, 33.5 22))"
"POLYGON ((34 22, 34 21.5, 33.5 21.5, 33.5 22, 34 22))"
"POLYGON ((34.5 22, 34.5 21.5, 34 21.5, 34 22, 34.5 22))"
"POLYGON ((35 22, 35 21.5, 34.5 21.5, 34.5 22, 35 22))"
"POLYGON ((35.5 22, 35.5 21.5, 35 21.5, 35 22, 35.5 22))"
"POLYGON ((36 22, 36 21.5, 35.5 21.5, 35.5 22, 36 22))"
"POLYGON ((36.5 22, 36.5 21.5, 36 21.5, 36 22, 36.5 22))"
"POLYGON ((37 22, 37 21.5, 36.5 21.5, 36.5 22, 37 22))"
"POLYGON ((-16 22.5, -16 22, -16.5 22, -16.5 22.5, -16 22.5))"
"POLYGON ((-15.5 22.5, -15.5 22, -16 22, -16 22.5, -15.5 22.5))"
"POLYGON ((-15 22.5, -15 22, -15.5 22, -15.5 22.5, -15 22.5))"
"POLYGON ((-14.5 22.5, -14.5 22, -15 22, -15 22.5, -14.5 22.5))"
"POLYGON ((-14 22.5, -14 22, -14.5 22, -14.5 22.5, -14 22.5))"
"POLYGON ((-13.5 22.5, -13.5 22, -14 22, -14 22.5, -13.5 22.5))"
"POLYGON ((-13 22.5, -13 22, -13.5 22, -13.5 22.5, -13 22.5))"
"POLYGON ((-12.5 22.5, -12.5 22, -13 22, -13 22.5, -12.5 22.5))"
"POLYGON ((-12 22.5, -12 22, -12.5 22, -12.5 22.5, -12 22.5))"
"POLYGON ((-11.5 22.5, -11.5 22, -12 22, -12 22.5, -11.5 22.5))"
"POLYGON ((-11 22.5, -11 22, -11.5 22, -11.5 22.5, -11 22.5))"
"POLYGON ((-10.5 22.5, -10.5 22, -11 22, -11 22.5, -10.5 22.5))"
"POLYGON ((-10 22.5, -10 22, -10.5 22, -10.5 22.5, -10 22.5))"
"POLYGON ((-9.5 22.5, -9.5 22, -10 22, -10 22.5, -9.5 22.5))"
"POLYGON ((-9 22.5, -9 22, -9.5 22, -9.5 22.5, -9 22.5))"
"POLYGON ((-8.5 22.5, -8.5 22, -9 22, -9 22.5, -8.5 22.5))"
"POLYGON ((-8 22.5, -8 22, -8.5 22, -8.5 22.5, -8 22.5))"
"POLYGON ((-7.5 22.5, -7.5 22, -8 22, -8 22.5, -7.5 22.5))"
"POLYGON ((-7 22.5, -7 22, -7.5 22, -7.5 22.5, -7 22.5))"
"POLYGON ((-6.5 22.5, -6.5 22, -7 22, -7 22.5, -6.5 22.5))"
"POLYGON ((-6 22.5, -6 22, -6.5 22, -6.5 22.5, -6 22.5))"
"POLYGON ((-5.5 22.5, -5.5 22, -6 22, -6 22.5, -5.5 22.5))"
"POLYGON ((-5 22.5, -5 22, -5.5 22, -5.5 22.5, -5 22.5))"
"POLYGON ((-4.5 22.5, -4.5 22, -5 22, -5 22.5, -4.5 22.5))"
"POLYGON ((-4 22.5, -4 22, -4.5 22, -4.5 22.5, -4 22.5))"
"POLYGON ((-3.5 22.5, -3.5 22, -4 22, -4 22.5, -3.5 22.5))"
"POLYGON ((-3 22.5, -3 22, -3.5 22, -3.5 22.5, -3 22.5))"
"POLYGON ((-2.5 22.5, -2.5 22, -3 22, -3 22.5, -2.5 22.5))"
"POLYGON ((-2 22.5, -2 22, -2.5 22, -2.5 22.5, -2 22.5))"
"POLYGON ((-1.5 22.5, -1.5 22, -2 22, -2 22.5, -1.5 22.5))"
"POLYGON ((-1 22.5, -1 22, -1.5 22, -1.5 22.5, -1 22.5))"
"POLYGON ((-0.5 22.5, -0.5 22, -1 22, -1 22.5, -0.5 22.5))"
"POLYGON ((0 22.5, 0 22, -0.5 22, -0.5 22.5, 0 22.5))"
"POLYGON ((0.5 22.5, 0.5 22, 0 22, 0 22.5, 0.5 22.5))"
"POLYGON ((1 22.5, 1 22, 0.5 22, 0.5 22.5, 1 22.5))"
"POLYGON ((1.5 22.5, 1.5 22, 1 22, 1 22.5, 1.5 22.5))"
"POLYGON ((2 22.5, 2 22, 1.5 22, 1.5 22.5, 2 22.5))"
"POLYGON ((2.5 22.5, 2.5 22, 2 22, 2 22.5, 2.5 22.5))"
"POLYGON ((3 22.5, 3 22, 2.5 22, 2.5 22.5, 3 22.5))"
"POLYGON ((3.5 22.5, 3.5 22, 3 22, 3 22.5, 3.5 22.5))"
"POLYGON ((4 22.5, 4 22, 3.5 22, 3.5 22.5, 4 22.5))"
"POLYGON ((4.5 22.5, 4.5 22, 4 22, 4 22.5, 4.5 22.5))"
"POLYGON ((5 22.5, 5 22, 4.5 22, 4.5 22.5, 5 22.5))"
"POLYGON ((5.5 22.5, 5.5 22, 5 22, 5 22.5, 5.5 22.5))"
"POLYGON ((6 22.5, 6 22, 5.5 22, 5.5 22.5, 6 22.5))"
"POLYGON ((6.5 22.5, 6.5 22, 6 22, 6 22.5, 6.5 22.5))"
"POLYGON ((7 22.5, 7 22, 6.5 22, 6.5 22.5, 7 22.5))"
"POLYGON ((7.5 22.5, 7.5 22, 7 22, 7 22.5, 7.5 22.5))"
"POLYGON ((8 22.5, 8 22, 7.5 22, 7.5 22.5, 8 22.5))"
"POLYGON ((8.5 22.5, 8.5 22, 8 22, 8 22.5, 8.5 22.5))"
"POLYGON ((9 22.5, 9 22, 8.5 22, 8.5 22.5, 9 22.5))"
"POLYGON ((9.5 22.5, 9.5 22, 9 22, 9 22.5, 9.5 22.5))"
"POLYGON ((10 22.5, 10 22, 9.5 22, 9.5 22.5, 10 22.5))"
"POLYGON ((10.5 22.5, 10.5 22, 10 22, 10 22.5, 10.5 22.5))"
"POLYGON ((11 22.5, 11 22, 10.5 22, 10.5 22.5, 11 22.5))"
"POLYGON ((11.5 22.5, 11.5 22, 11 22, 11 22.5, 11.5 22.5))"
"POLYGON ((12 22.5, 12 22, 11.5 22, 11.5 22.5, 12 22.5))"
"POLYGON ((12.5 22.5, 12.5 22, 12 22, 12 22.5, 12.5 22.5))"
"POLYGON ((13 22.5, 13 22, 12.5 22, 12.5 22.5, 13 22.5))"
"POLYGON ((13.5 22.5, 13.5 22, 13 22, 13 22.5, 13.5 22.5))"
"POLYGON ((14 22.5, 14 22, 13.5 22, 13.5 22.5, 14 22.5))"
"POLYGON ((14.5 22.5, 14.5 22, 14 22, 14 22.5, 14.5 22.5))"
"POLYGON ((15 22.5, 15 22, 14.5 22, 14.5 22.5, 15 22.5))"
"POLYGON ((15.5 22.5, 15.5 22, 15 22, 15 22.5, 15.5 22.5))"
"POLYGON ((16 22.5, 16 22, 15.5 22, 15.5 22.5, 16 22.5))"
"POLYGON ((16.5 22.5, 16.5 22, 16 22, 16 22.5, 16.5 22.5))"
"POLYGON ((17 22.5, 17 22, 16.5 22, 16.5 22.5, 17 22.5))"
"POLYGON ((17.5 22.5, 17.5 22, 17 22, 17 22.5, 17.5 22.5))"
"POLYGON ((18 22.5, 18 22, 17.5 22, 17.5 22.5, 18 22.5))"
"POLYGON ((18.5 22.5, 18.5 22, 18 22, 18 22.5, 18.5 22.5))"
"POLYGON ((19 22.5, 19 22, 18.5 22, 18.5 22.5, 19 22.5))"
"POLYGON ((19.5 22.5, 19.5 22, 19 22, 19 22.5, 19.5 22.5))"
"POLYGON ((20 22.5, 20 22, 19.5 22, 19.5 22.5, 20 22.5))"
"POLYGON ((20.5 22.5, 20.5 22, 20 22, 20 22.5, 20.5 22.5))"
"POLYGON ((21 22.5, 21 22, 20.5 22, 20.5 22.5, 21 22.5))"
"POLYGON ((21.5 22.5, 21.5 22, 21 22, 21 22.5, 21.5 22.5))"
"POLYGON ((22 22.5, 22 22, 21.5 22, 21.5 22.5, 22 22.5))"
"POLYGON ((22.5 22.5, 22.5 22, 22 22, 22 22.5, 22.5 22.5))"
"POLYGON ((23 22.5, 23 22, 22.5 22, 22.5 22.5, 23 22.5))"
"POLYGON ((23.5 22.5, 23.5 22, 23 22, 23 22.5, 23.5 22.5))"
"POLYGON ((24 22.5, 24 22, 23.5 22, 23.5 22.5, 24 22.5))"
"POLYGON ((24.5 22.5, 24.5 22, 24 22, 24 22.5, 24.5 22.5))"
"POLYGON ((25 22.5, 25 22, 24.5 22, 24.5 22.5, 25 22.5))"
"POLYGON ((25.5 22.5, 25.5 22, 25 22, 25 22.5, 25.5 22.5))"
"POLYGON ((26 22.5, 26 22, 25.5 22, 25.5 22.5, 26 22.5))"
"POLYGON ((26.5 22.5, 26.5 22, 26 22, 26 22.5, 26.5 22.5))"
"POLYGON ((27 22.5, 27 22, 26.5 22, 26.5 22.5, 27 22.5))"
"POLYGON ((27.5 22.5, 27.5 22, 27 22, 27 22.5, 27.5 22.5))"
"POLYGON ((28 22.5, 28 22, 27.5 22, 27.5 22.5, 28 22.5))"
"POLYGON ((28.5 22.5, 28.5 22, 28 22, 28 22.5, 28.5 22.5))"
"POLYGON ((29 22.5, 29 22, 28.5 22, 28.5 22.5, 29 22.5))"
"POLYGON ((29.5 22.5, 29.5 22, 29 22, 29 22.5, 29.5 22.5))"
"POLYGON ((30 22.5, 30 22, 29.5 22, 29.5 22.5, 30 22.5))"
"POLYGON ((30.5 22.5, 30.5 22, 30 22, 30 22.5, 30.5 22.5))"
"POLYGON ((31 22.5, 31 22, 30.5 22, 30.5 22.5, 31 22.5))"
"POLYGON ((31.5 22.5, 31.5 22, 31 22, 31 22.5, 31.5 22.5))"
"POLYGON ((32 22.5, 32 22, 31.5 22, 31.5 22.5, 32 22.5))"
"POLYGON ((32.5 22.5, 32.5 22, 32 22, 32 22.5, 32.5 22.5))"
"POLYGON ((33 22.5, 33 22, 32.5 22, 32.5 22.5, 33 22.5))"
"POLYGON ((33.5 22.5, 33.5 22, 33 22, 33 22.5, 33.5 22.5))"
"POLYGON ((34 22.5, 34 22, 33.5 22, 33.5 22.5, 34 22.5))"
"POLYGON ((34.5 22.5, 34.5 22, 34 22, 34 22.5, 34.5 22.5))"
"POLYGON ((35 22.5, 35 22, 34.5 22, 34.5 22.5, 35 22.5))"
"POLYGON ((35.5 22.5, 35.5 22, 35 22, 35 22.5, 35.5 22.5))"
"POLYGON ((36 22.5, 36 22, 35.5 22, 35.5 22.5, 36 22.5))"
"POLYGON ((36.5 22.5, 36.5 22, 36 22, 36 22.5, 36.5 22.5))"
"POLYGON ((-16 23, -16 22.5, -16.5 22.5, -16.5 23, -16 23))"
"POLYGON ((-15.5 23, -15.5 22.5, -16 22.5, -16 23, -15.5 23))"
"POLYGON ((-15 23, -15 22.5, -15.5 22.5, -15.5 23, -15 23))"
"POLYGON ((-14.5 23, -14.5 22.5, -15 22.5, -15 23, -14.5 23))"
"POLYGON ((-14 23, -14 22.5, -14.5 22.5, -14.5 23, -14 23))"
"POLYGON ((-13.5 23, -13.5 22.5, -14 22.5, -14 23, -13.5 23))"
"POLYGON ((-13 23, -13 22.5, -13.5 22.5, -13.5 23, -13 23))"
"POLYGON ((-12.5 23, -12.5 22.5, -13 22.5, -13 23, -12.5 23))"
"POLYGON ((-12 23, -12 22.5, -12.5 22.5, -12.5 23, -12 23))"
"POLYGON ((-11.5 23, -11.5 22.5, -12 22.5, -12 23, -11.5 23))"
"POLYGON ((-11 23, -11 22.5, -11.5 22.5, -11.5 23, -11 23))"
"POLYGON ((-10.5 23, -10.5 22.5, -11 22.5, -11 23, -10.5 23))"
"POLYGON ((-10 23, -10 22.5, -10.5 22.5, -10.5 23, -10 23))"
"POLYGON ((-9.5 23, -9.5 22.5, -10 22.5, -10 23, -9.5 23))"
"POLYGON ((-9 23, -9 22.5, -9.5 22.5, -9.5 23, -9 23))"
"POLYGON ((-8.5 23, -8.5 22.5, -9 22.5, -9 23, -8.5 23))"
"POLYGON ((-8 23, -8 22.5, -8.5 22.5, -8.5 23, -8 23))"
"POLYGON ((-7.5 23, -7.5 22.5, -8 22.5, -8 23, -7.5 23))"
"POLYGON ((-7 23, -7 22.5, -7.5 22.5, -7.5 23, -7 23))"
"POLYGON ((-6.5 23, -6.5 22.5, -7 22.5, -7 23, -6.5 23))"
"POLYGON ((-6 23, -6 22.5, -6.5 22.5, -6.5 23, -6 23))"
"POLYGON ((-5.5 23, -5.5 22.5, -6 22.5, -6 23, -5.5 23))"
"POLYGON ((-5 23, -5 22.5, -5.5 22.5, -5.5 23, -5 23))"
"POLYGON ((-4.5 23, -4.5 22.5, -5 22.5, -5 23, -4.5 23))"
"POLYGON ((-4 23, -4 22.5, -4.5 22.5, -4.5 23, -4 23))"
"POLYGON ((-3.5 23, -3.5 22.5, -4 22.5, -4 23, -3.5 23))"
"POLYGON ((-3 23, -3 22.5, -3.5 22.5, -3.5 23, -3 23))"
"POLYGON ((-2.5 23, -2.5 22.5, -3 22.5, -3 23, -2.5 23))"
"POLYGON ((-2 23, -2 22.5, -2.5 22.5, -2.5 23, -2 23))"
"POLYGON ((-1.5 23, -1.5 22.5, -2 22.5, -2 23, -1.5 23))"
"POLYGON ((-1 23, -1 22.5, -1.5 22.5, -1.5 23, -1 23))"
"POLYGON ((-0.5 23, -0.5 22.5, -1 22.5, -1 23, -0.5 23))"
"POLYGON ((0 23, 0 22.5, -0.5 22.5, -0.5 23, 0 23))"
"POLYGON ((0.5 23, 0.5 22.5, 0 22.5, 0 23, 0.5 23))"
"POLYGON ((1 23, 1 22.5, 0.5 22.5, 0.5 23, 1 23))"
"POLYGON ((1.5 23, 1.5 22.5, 1 22.5, 1 23, 1.5 23))"
"POLYGON ((2 23, 2 22.5, 1.5 22.5, 1.5 23, 2 23))"
"POLYGON ((2.5 23, 2.5 22.5, 2 22.5, 2 23, 2.5 23))"
"POLYGON ((3 23, 3 22.5, 2.5 22.5, 2.5 23, 3 23))"
"POLYGON ((3.5 23, 3.5 22.5, 3 22.5, 3 23, 3.5 23))"
"POLYGON ((4 23, 4 22.5, 3.5 22.5, 3.5 23, 4 23))"
"POLYGON ((4.5 23, 4.5 22.5, 4 22.5, 4 23, 4.5 23))"
"POLYGON ((5 23, 5 22.5, 4.5 22.5, 4.5 23, 5 23))"
"POLYGON ((5.5 23, 5.5 22.5, 5 22.5, 5 23, 5.5 23))"
"POLYGON ((6 23, 6 22.5, 5.5 22.5, 5.5 23, 6 23))"
"POLYGON ((6.5 23, 6.5 22.5, 6 22.5, 6 23, 6.5 23))"
"POLYGON ((7 23, 7 22.5, 6.5 22.5, 6.5 23, 7 23))"
"POLYGON ((7.5 23, 7.5 22.5, 7 22.5, 7 23, 7.5 23))"
"POLYGON ((8 23, 8 22.5, 7.5 22.5, 7.5 23, 8 23))"
"POLYGON ((8.5 23, 8.5 22.5, 8 22.5, 8 23, 8.5 23))"
"POLYGON ((9 23, 9 22.5, 8.5 22.5, 8.5 23, 9 23))"
"POLYGON ((9.5 23, 9.5 22.5, 9 22.5, 9 23, 9.5 23))"
"POLYGON ((10 23, 10 22.5, 9.5 22.5, 9.5 23, 10 23))"
"POLYGON ((10.5 23, 10.5 22.5, 10 22.5, 10 23, 10.5 23))"
"POLYGON ((11 23, 11 22.5, 10.5 22.5, 10.5 23, 11 23))"
"POLYGON ((11.5 23, 11.5 22.5, 11 22.5, 11 23, 11.5 23))"
"POLYGON ((12 23, 12 22.5, 11.5 22.5, 11.5 23, 12 23))"
"POLYGON ((12.5 23, 12.5 22.5, 12 22.5, 12 23, 12.5 23))"
"POLYGON ((13 23, 13 22.5, 12.5 22.5, 12.5 23, 13 23))"
"POLYGON ((13.5 23, 13.5 22.5, 13 22.5, 13 23, 13.5 23))"
"POLYGON ((14 23, 14 22.5, 13.5 22.5, 13.5 23, 14 23))"
"POLYGON ((14.5 23, 14.5 22.5, 14 22.5, 14 23, 14.5 23))"
"POLYGON ((15 23, 15 22.5, 14.5 22.5, 14.5 23, 15 23))"
"POLYGON ((15.5 23, 15.5 22.5, 15 22.5, 15 23, 15.5 23))"
"POLYGON ((16 23, 16 22.5, 15.5 22.5, 15.5 23, 16 23))"
"POLYGON ((16.5 23, 16.5 22.5, 16 22.5, 16 23, 16.5 23))"
"POLYGON ((17 23, 17 22.5, 16.5 22.5, 16.5 23, 17 23))"
"POLYGON ((17.5 23, 17.5 22.5, 17 22.5, 17 23, 17.5 23))"
"POLYGON ((18 23, 18 22.5, 17.5 22.5, 17.5 23, 18 23))"
